"contract_award_unique_key","total_obligated_amount","period_of_performance_start_date","period_of_performance_current_end_date","awarding_agency_name","awarding_sub_agency_name","recipient_name_raw","prime_award_base_transaction_description","naics_code","naics_description","recipient_city_name","recipient_county_name","recipient_state_name","city_local_government","county_local_government"
"CONT_AWD_HSCEDM17P00084_7012_-NONE-_-NONE-",3660,"2017-07-31","2018-07-31","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SACRAMENTO, COUNTY OF","IGF::OT::IGF ACCESS TO CLETS LAW ENFORCEMENT DATA BASE","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SACRAMENTO","SACRAMENTO","CALIFORNIA","f","t"
"CONT_AWD_HSCEDM17P00020_7012_-NONE-_-NONE-",45528.5,"2017-07-01","2019-10-01","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SAN DIEGO ASSOCIATION OF GOVERNMENTS","IGF::CT::IGF RENEWAL ON USER FEES FOR ESUN ACCESS","561611","INVESTIGATION SERVICES","SAN DIEGO","SAN DIEGO","CALIFORNIA","f","f"
"CONT_AWD_HSCEDM16P00081_7012_-NONE-_-NONE-",18360,"2016-06-17","2019-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","KERN, COUNTY OF","IGF::OT::IGF ACCESS TO CLETS LAW ENFORCEMENT DATA BASE","518210","COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES","BAKERSFIELD","KERN","CALIFORNIA","f","t"
"CONT_AWD_HSCEDM16P00080_7012_-NONE-_-NONE-",3600,"2016-06-17","2017-07-31","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SACRAMENTO, COUNTY OF","IGF::OT::IGF ACCESS TO CLETS LAW ENFORCEMENT DATA BASE","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SACRAMENTO","SACRAMENTO","CALIFORNIA","f","t"
"CONT_AWD_HSCEDM16P00079_7012_-NONE-_-NONE-",14980,"2016-07-01","2017-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SAN DIEGO ASSOCIATION OF GOVERNMENTS","IGF::CT::IGF RENEWAL ON USER FEES FOR ESUN ACCESS","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN DIEGO","SAN DIEGO","CALIFORNIA","f","f"
"CONT_AWD_HSCEDM15P00067_7012_-NONE-_-NONE-",13356,"2015-07-01","2016-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SAN DIEGO ASSOCIATION OF GOVERNMENTS","IGF::CT::IGF RENEWAL ON USER FEES FOR ESUN ACCESS","517911","TELECOMMUNICATIONS RESELLERS","SAN DIEGO","SAN DIEGO","CALIFORNIA","f","f"
"CONT_AWD_HSCEDM11P00087_7012_-NONE-_-NONE-",6120,"2011-06-09","2012-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","KERN, COUNTY OF","ACCESS TO CLETS LAW ENFORCEMENT DATABASE - KERN COUNTY POP: 7/1/2011 - 6/30/2012","519190","ALL OTHER INFORMATION SERVICES","BAKERSFIELD","KERN","CALIFORNIA","f","t"
"CONT_AWD_HSCEDM11P00020_7012_-NONE-_-NONE-",4590,"2010-10-01","2011-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","KERN, COUNTY OF","ACCESS TO CLETS LAW ENFORCEMENT DATA BASE KERN COUNTY  RENEWAL OF HSCEDM09P00014    ACCESS TO CLETS LAW ENFORCEMENT DATA BASE","519190","ALL OTHER INFORMATION SERVICES","BAKERSFIELD","KERN","CALIFORNIA","f","t"
"CONT_AWD_70CDCR18P00000094_7012_-NONE-_-NONE-",4254.86,"2018-05-23","2018-06-22","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF ORANGE","CIGF::CL::IGF CALIFORNIA LAW ENFORCEMENT TELECOMMUNICATIONS SYSTEMS (CLETS) MANDATORY UPGRADE","517311","WIRED TELECOMMUNICATIONS CARRIERS","SANTA ANA","ORANGE","CALIFORNIA","f","t"
"CONT_AWD_70CDCR18P00000110_7012_-NONE-_-NONE-",4750.88,"2018-07-01","2019-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","IGF::CT::IGF ONLINE ACCESS TO CRIMINAL JUSTICE INFORMATION","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_70CDCR18P00000102_7012_-NONE-_-NONE-",1200.13,"2018-06-19","2019-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","SLETS DATABASE ACCESS","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_70CDCR18P00000116_7012_-NONE-_-NONE-",3660,"2018-08-01","2019-07-31","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SACRAMENTO, COUNTY OF","IGF::OT::IGF::CLETS LAW ENFORCEMENT DATA BASE","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SACRAMENTO","SACRAMENTO","CALIFORNIA","f","t"
"CONT_AWD_70CDCR19P00000047_7012_-NONE-_-NONE-",243.59,"2019-07-03","2020-08-31","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","IGF::CT::IGF:: SLETS LAW ENFORCEMENT INVESTIGATIVE RESEARCH","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_70CDCR19P00000049_7012_-NONE-_-NONE-",610,"2019-07-11","2020-07-31","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SACRAMENTO, COUNTY OF","IGF::CT::IGF::SACRAMENTO COUNTY CLETS DATA BASE","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SACRAMENTO","SACRAMENTO","CALIFORNIA","f","t"
"CONT_AWD_70CMSD18P00000117_7012_-NONE-_-NONE-",109995,"2018-07-01","2021-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SAN DIEGO ASSOCIATION OF GOVERNMENTS","IGF::OT::IGF DATABASE SYSTEM ACCESS","922190","OTHER JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES","SAN DIEGO","SAN DIEGO","CALIFORNIA","f","f"
"CONT_AWD_HSVSF5P0023_7012_-NONE-_-NONE-",3600,"2004-10-01","2005-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA COUNTY OF","CJIS ACCESS","","","SAN JOSE","SANTA CLARA","CALIFORNIA","f","f"
"CONT_AWD_HSVSF5P0020_7012_-NONE-_-NONE-",6122,"2004-10-01","2005-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF KERN","CLETS PHONE LINES","514210","DATA PROCESSING SERVICES","BAKERSFIELD","KERN","CALIFORNIA","f","f"
"CONT_AWD_HSVSF5P0019_7012_-NONE-_-NONE-",3495,"2004-10-01","2005-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SACRAMENTO COUNTY OF","CLETS LINE","","","SACRAMENTO","SACRAMENTO","CALIFORNIA","f","f"
"CONT_AWD_HSVSF5P0018_7012_-NONE-_-NONE-",3224.9,"2004-10-01","2005-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF SAN JOAQUIN","CLETS LINE","","","STOCKTON","SAN JOAQUIN","CALIFORNIA","f","f"
"CONT_AWD_HSVSF5P0004_7012_-NONE-_-NONE-",1500.01,"2004-09-27","2005-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF SANTA CLARA OFFICE OF THE SHERIFF","SCLET SERVICE","","","SAN JOSE","SANTA CLARA","CALIFORNIA","f","f"
"CONT_AWD_HSCEDM12P00080_7012_-NONE-_-NONE-",6120,"2012-07-01","2013-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","KERN, COUNTY OF","CLETS (CALIFORNIA LAW ENFORCEMENT TELECOMMUNICATIONS SYSTEM)","519190","ALL OTHER INFORMATION SERVICES","BAKERSFIELD","KERN","CALIFORNIA","f","t"
"CONT_AWD_HSCEDM09P00014_7012_-NONE-_-NONE-",12240,"2008-08-25","2010-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","KERN, COUNTY OF","CLETS DATABASE ACCESS","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","BAKERSFIELD","KERN","CALIFORNIA","f","t"
"CONT_AWD_HSCEDM08P00077_7012_-NONE-_-NONE-",6120,"2007-10-01","2008-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","KERN COUNTY OF","CLETS ACCESS REQUIRED FOR RAC BAKERSFIELD INVESTIGATION STAFF TO PROPERLY PROCESS CRIMINAL ALIENS,  SUBJECT TO AVAILABILITY OF FY08 FUNDING (CLE)","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","BAKERSFIELD","KERN","CALIFORNIA","f","f"
"CONT_AWD_HSCEDM08P00036_7012_-NONE-_-NONE-",3672,"2007-09-22","2008-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF SACRAMENTO (0529) 1470275","OBTAIN RECORDS FROM THE CALIFORNIA LAW ENFORCEMENT TELECOMMUNICATIONS SYSTEM (CLETS).","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SACRAMENTO","SACRAMENTO","CALIFORNIA","f","f"
"CONT_AWD_HSCECR17P00008_7012_-NONE-_-NONE-",44234.5,"2017-06-30","2019-10-01","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SAN DIEGO ASSOCIATION OF GOVERNMENTS","IGF::CL::IGF AUTOMATED REGIONAL JUSTICE INFORMATION SYSTEM (ARJIS)","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN DIEGO","SAN DIEGO","CALIFORNIA","f","f"
"CONT_AWD_HSCECR17P00007_7012_-NONE-_-NONE-",1834.94,"2017-06-30","2018-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","PURCHASE OF STATE LAW ENFORCEMENT TRACKING SYSTEM (SLETS) ACCESS","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_HSCECR16P00008_7012_-NONE-_-NONE-",1261.09,"2016-06-29","2017-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","IGF::OT::IGF ONLINE ACCESS TO STATE LAW ENFORCEMENT TRACKING SYSTEM (SLETS).","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_HSCECR16P00007_7012_-NONE-_-NONE-",19615,"2016-06-28","2017-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SAN DIEGO ASSOCIATION OF GOVERNMENTS","IGF::CL::IGF AUTOMATED REGIONAL JUSTICE INFORMATION SYSTEM (ARJIS)","518210","COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES","SAN DIEGO","SAN DIEGO","CALIFORNIA","f","f"
"CONT_AWD_HSCECR15P00015_7012_-NONE-_-NONE-",1781.75,"2015-06-26","2016-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","IGF::OT::IGF ONLINE ACCESS TO STATE LAW ENFORCEMENT TRACKING SYSTEM (SLETS).","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_HSCECR15P00014_7012_-NONE-_-NONE-",32680.75,"2015-06-26","2018-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","IGF::CT::IGF ONLINE ACCESS TO CRIMINAL JUSTICE INFORMATION","518210","COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_HSCECR15P00013_7012_-NONE-_-NONE-",19599,"2015-06-25","2016-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SAN DIEGO ASSOCIATION OF GOVERNMENTS","IGF::CL::IGF AUTOMATED REGIONAL JUSTICE INFORMATION SYSTEM (ARJIS)","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN DIEGO","SAN DIEGO","CALIFORNIA","f","f"
"CONT_AWD_HSCECR14P00024_7012_-NONE-_-NONE-",12600,"2014-06-16","2015-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SAN DIEGO ASSOCIATION OF GOVERNMENTS","RENEWAL OF USER FEES FOR E-SUN FROM THE SAN DIEGO COUNTY SHERIFF'S OFFICE. POP: 7/1/14 - 6/30/15. PRIOR PO# HSECR-13-P-00037 COR: PERRY WEIDMAN, 619-338-3740, PERRY.E.WEIDMAN@ICE.DHS.GOV ALT: CECILIA PEREZ, 760-336-4605","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN DIEGO","SAN DIEGO","CALIFORNIA","f","f"
"CONT_AWD_HSCECR13P00042_7012_-NONE-_-NONE-",22120,"2013-06-25","2016-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","KERN, COUNTY OF","CLETS DATA BASE FOR KERN COUNTY, CA IGF::OT::IGF","519130","INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS","BAKERSFIELD","KERN","CALIFORNIA","f","t"
"CONT_AWD_HSCECR13P00040_7012_-NONE-_-NONE-",19561,"2013-06-13","2014-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SAN DIEGO ASSOCIATION OF GOVERNMENTS","IGF::OT::IGF","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN DIEGO","SAN DIEGO","CALIFORNIA","f","t"
"CONT_AWD_HSCECR13P00039_7012_-NONE-_-NONE-",4180.29,"2013-06-13","2015-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","IGF::OT::IGF","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_HSCECR13P00037_7012_-NONE-_-NONE-",10608,"2013-06-18","2014-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SAN DIEGO ASSOCIATION OF GOVERNMENTS","RENEWAL OF USER FEES FOR E-SUN FROM THE SAN DIEGO COUNTY SHERIFF'S OFFICE FOR THE PERIOD OF 7/1/2013 THROUGH 6/30/2014.  PRIOR PO# HSECR-12-P-00030","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN DIEGO","SAN DIEGO","CALIFORNIA","f","t"
"CONT_AWD_HSCECR13P00034_7012_-NONE-_-NONE-",12905,"2013-08-01","2016-07-31","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF SACRAMENTO","IGF::OT::IGF RENEWAL OF  HSCECR12P00052 THAT EXPIRES AUG 31, 2013  ACCESS TO CLETS LAW ENFORCEMENT DATA BASE","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SACRAMENTO","SACRAMENTO","CALIFORNIA","f","t"
"CONT_AWD_HSCECR13P00032_7012_-NONE-_-NONE-",17135.52,"2013-06-18","2015-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","IGF::CT::IGF","518210","COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_HSCECR12P00052_7012_-NONE-_-NONE-",3560,"2012-09-01","2013-05-31","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF SACRAMENTO","ACCESS TO CLETS LAW ENFORCEMENT DATA BASE","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SACRAMENTO","SACRAMENTO","CALIFORNIA","f","t"
"CONT_AWD_HSCECR12P00049_7012_-NONE-_-NONE-",2200,"2012-08-13","2013-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","RENEWAL OF HSCECR11P00075 THAT EXPIRES AUG 31, 2012.  SLETS ACCESS CHARGE TO PERFORM LAW ENFORCEMENT INVESTIGATIVE RESEARCH FOR DRO SAN JOSE SUB-OFFICE.","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_HSCECR12P00027_7012_-NONE-_-NONE-",6743.52,"2012-05-21","2013-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","RENEWAL OF HSCECR11P00053  CJIC ACCESS CHARGE TO PERFORM LAW ENFORCEMENT INVESTIGATIVE CHECKS FOR DRO SAN JOSE SUB-OFFICE.","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_HSCECR11P00075_7012_-NONE-_-NONE-",2072.01,"2011-08-29","2012-08-31","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","SLETS ACCESS CHARGE TO PERFORM LAW ENFORCEMENT INVESTIGATIVE RESEARCH FOR DRO SAN JOSE SUB-OFFICE.","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_HSCECR11P00074_7012_-NONE-_-NONE-",4800,"2011-08-29","2012-08-31","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF SACRAMENTO","ACCESS TO CLETS LAW ENFORCEMENT DATA BASE","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SACRAMENTO","SACRAMENTO","CALIFORNIA","f","t"
"CONT_AWD_HSCECR11P00053_7012_-NONE-_-NONE-",6926.4,"2011-06-30","2012-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","RENEWAL OF HSCECR10P00128  CJIC ACCESS CHARGE TO PERFORM LAW ENFORCEMENT INVESTIGATIVE CHECKS FOR DRO SAN JOSE SUB-OFFICE.","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_HSCECR11P00045_7012_-NONE-_-NONE-",15846,"2011-08-18","2012-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SAN DIEGO ASSOCIATION OF GOVERNMENTS","LAW ENFORCEMENT DATABASE ACCESS","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN DIEGO","SAN DIEGO","CALIFORNIA","f","f"
"CONT_AWD_HSCECR10P00134_7012_-NONE-_-NONE-",4332,"2010-09-01","2011-08-31","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF SACRAMENTO","ACCESS TO CLETS LAW ENFORCEMENT DATA BASE","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SACRAMENTO","SACRAMENTO","CALIFORNIA","f","t"
"CONT_AWD_HSCECR10P00128_7012_-NONE-_-NONE-",5108.7,"2010-08-19","2011-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","LAW ENFORCEMENT DATABASE ACCESS","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_HSCECR10P00127_7012_-NONE-_-NONE-",1751.3,"2010-08-19","2011-08-31","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","ON-LINE DATABASE SERVICES","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_HSCECR10P00003_7012_-NONE-_-NONE-",3971,"2009-09-23","2010-08-31","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF SACRAMENTO","ACCESS TO CLETS LAW ENFORCEMENT DATA BASE - SACREMENTO COUNTY","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SACRAMENTO","SACRAMENTO","CALIFORNIA","f","t"
"CONT_AWD_HSCECR09P00143_7012_-NONE-_-NONE-",1038.89,"2009-09-03","2010-08-31","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","ACCESS TO STATE LAW ENDORCEMENT TRACKING SYSTEM (SLETS)","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_HSCECR09P00110_7012_-NONE-_-NONE-",5573.16,"2009-09-01","2010-08-31","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","CJIC CRIMINAL DATABASE ACCESS","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_HSCECR08P00085_7012_-NONE-_-NONE-",5066.52,"2008-07-21","2009-06-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","SANTA CLARA, COUNTY OF","CJIC ACCESS CHARGE TO PERFORM LAW ENFORCEMENT INVESTIGATIVE CHECKS FOR DRO SAN JOSE SUB-OFFICE.","923120","ADMINISTRATION OF PUBLIC HEALTH PROGRAMS","SAN JOSE","SANTA CLARA","CALIFORNIA","f","t"
"CONT_AWD_HSCECA07P70027_7012_-NONE-_-NONE-",2880,"2006-10-02","2007-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF SACRAMENTO (0529)","CLETS MACHINE","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","SACRAMENTO","SACRAMENTO","CALIFORNIA","f","f"
"CONT_AWD_HSACL5P0032_7012_-NONE-_-NONE-",2764.8,"2004-10-01","2005-09-30","Department of Homeland Security","U.S. Immigration and Customs Enforcement","COUNTY OF VENTURA","CLETS ACCESS","517910","OTHER TELECOMMUNICATIONS","VENTURA","VENTURA","CALIFORNIA","f","f"
